Working on: outputs/checkpoint-192000 | 128/84984 | AVG Bleu: 0.8826883940235473 | Time: 331 | ETA: 220094 sec | WWorking on: outputs/checkpoint-192000 | 256/84984 | AVG Bleu: 0.9009966970439368 | Time: 630 | ETA: 209772 sec |WoWorking on: outputs/checkpoint-192000 | 384/84984 | AVG Bleu: 0.9063508879215142 | Time: 945 | ETA: 210089 sec WorWorking on: outputs/checkpoint-192000 | 512/84984 | AVG Bleu: 0.914224547814564 | Time: 1264 | ETA: 211075 sec WorWorking on: outputs/checkpoint-192000 | 640/84984 | AVG Bleu: 0.9096535019231945 | Time: 1575 | ETA: 210727 secWorkWorking on: outputs/checkpoint-192000 | 768/84984 | AVG Bleu: 0.911581876152507 | Time: 1899 | ETA: 212052 seWorkiWorking on: outputs/checkpoint-192000 | 896/84984 | AVG Bleu: 0.91190623988385 | Time: 2258 | ETA: 216449 secWorkWorking on: outputs/checkpoint-192000 | 1024/84984 | AVG Bleu: 0.9075933698191443 | Time: 2640 | ETA: 221771 seWorkiWorking on: outputs/checkpoint-192000 | 1152/84984 | AVG Bleu: 0.9094082885567055 | Time: 2976 | ETA: 222558Working Working on: outputs/checkpoint-192000 | 1280/84984 | AVG Bleu: 0.9123279547406351 | Time: 3306 | ETA: 22285Working oWorking on: outputs/checkpoint-192000 | 1408/84984 | AVG Bleu: 0.9125389069162883 | Time: 3623 | ETA: 222Working on:Working on: outputs/checkpoint-192000 | 1536/84984 | AVG Bleu: 0.9125060101157413 | Time: 3922 | ETA: 22Working on: Working on: outputs/checkpoint-192000 | 1664/84984 | AVG Bleu: 0.9102674560134202 | Time: 4226 | ETA: 2Working on: oWorking on: outputs/checkpoint-192000 | 1792/84984 | AVG Bleu: 0.9105273002340436 | Time: 4539 | ETA: Working on: ouWorking on: outputs/checkpoint-192000 | 1920/84984 | AVG Bleu: 0.9112466120878692 | Time: 4855 | ETA:Working on: outWorking on: outputs/checkpoint-60000 | 128/84984 | AVG Bleu: 0.8012551076159947 | Time: 285 | ETA:Working on: outWorking on: outputs/checkpoint-60000 | 256/84984 | AVG Bleu: 0.8327757096813974 | Time: 574 | ETA: Working on: ouWorking on: outputs/checkpoint-60000 | 384/84984 | AVG Bleu: 0.8452131700455765 | Time: 953 | ETA: 211868 sec | 
Working on: outputs/checkpoint-60000 | 512/84984 | AVG Bleu: 0.8448133963652562 | Time: 1341 | ETA: 223934 sec | 
Working on: outputs/checkpoint-60000 | 640/84984 | AVG Bleu: 0.8444203434152394 | Time: 1724 | ETA: 230662 sec | 
Working on: outputs/checkpoint-60000 | 768/84984 | AVG Bleu: 0.849232546116184 | Time: 2017 | ETA: 225229 sec | 
Working on: outputs/checkpoint-60000 | 896/84984 | AVG Bleu: 0.8533931534809968 | Time: 2381 | ETA: 228239 sec | 
Working on: outputs/checkpoint-60000 | 1024/84984 | AVG Bleu: 0.8518717913940448 | Time: 2727 | ETA: 229079 sec | 
Working on: outputs/checkpoint-60000 | 1152/84984 | AVG Bleu: 0.85394838769556 | Time: 3039 | ETA: 227270 sec | 
Working on: outputs/checkpoint-60000 | 1280/84984 | AVG Bleu: 0.8571541649736142 | Time: 3386 | ETA: 228247 sec | 
Working on: outputs/checkpoint-60000 | 1408/84984 | AVG Bleu: 0.860423632410138 | Time: 3681 | ETA: 225920 sec | 
Working on: outputs/checkpoint-60000 | 1536/84984 | AVG Bleu: 0.8606089925508346 | Time: 4045 | ETA: 227921 sec | 
Working on: outputs/checkpoint-60000 | 1664/84984 | AVG Bleu: 0.8599459346923065 | Time: 4423 | ETA: 230403 sec | 
Working on: outputs/checkpoint-60000 | 1792/84984 | AVG Bleu: 0.8588732476712089 | Time: 4742 | ETA: 229729 sec | 
Working on: outputs/checkpoint-60000 | 1920/84984 | AVG Bleu: 0.8608969899313978 | Time: 5043 | ETA: 228375 sec | 
Working on: outputs/checkpoint-40000 | 128/84984 | AVG Bleu: 0.8313872727563919 | Time: 293 | ETA: 194827 sec | 
Working on: outputs/checkpoint-40000 | 256/84984 | AVG Bleu: 0.8465985718332656 | Time: 581 | ETA: 193456 sec | 
Working on: outputs/checkpoint-40000 | 384/84984 | AVG Bleu: 0.8552073213227357 | Time: 883 | ETA: 196305 sec | 
Working on: outputs/checkpoint-40000 | 512/84984 | AVG Bleu: 0.8563492587396506 | Time: 1192 | ETA: 199052 sec | 
Working on: outputs/checkpoint-40000 | 640/84984 | AVG Bleu: 0.8534994548470914 | Time: 1579 | ETA: 211262 sec | 
Working on: outputs/checkpoint-40000 | 768/84984 | AVG Bleu: 0.8554415793759986 | Time: 1952 | ETA: 217970 sec | 
Working on: outputs/checkpoint-40000 | 896/84984 | AVG Bleu: 0.8558984856627735 | Time: 2224 | ETA: 213190 sec | 
Working on: outputs/checkpoint-40000 | 1024/84984 | AVG Bleu: 0.8554867522304019 | Time: 2564 | ETA: 215387 sec | 
Working on: outputs/checkpoint-40000 | 1152/84984 | AVG Bleu: 0.8524251996575738 | Time: 2914 | ETA: 217922 sec | 
Working on: outputs/checkpoint-40000 | 1280/84984 | AVG Bleu: 0.8535631367131916 | Time: 3322 | ETA: 223932 sec | 
Working on: outputs/checkpoint-40000 | 1408/84984 | AVG Bleu: 0.8526654268629642 | Time: 3621 | ETA: 222238 sec | 
Working on: outputs/checkpoint-40000 | 1536/84984 | AVG Bleu: 0.8545594410720678 | Time: 3907 | ETA: 220145 sec | 
Working on: outputs/checkpoint-40000 | 1664/84984 | AVG Bleu: 0.8530825413193122 | Time: 4289 | ETA: 223422 sec | 
Working on: outputs/checkpoint-40000 | 1792/84984 | AVG Bleu: 0.8523474088721726 | Time: 4615 | ETA: 223576 sec | 
Working on: outputs/checkpoint-40000 | 1920/84984 | AVG Bleu: 0.8551103687957637 | Time: 4923 | ETA: 222941 sec | 
Working on: outputs/checkpoint-162000 | 128/84984 | AVG Bleu: 0.8751636413195109 | Time: 306 | ETA: 203471 sec | 
Working on: outputs/checkpoint-162000 | 256/84984 | AVG Bleu: 0.8779375768727039 | Time: 588 | ETA: 195787 sec | 
Working on: outputs/checkpoint-162000 | 384/84984 | AVG Bleu: 0.8941948043568725 | Time: 880 | ETA: 195638 sec | 
Working on: outputs/checkpoint-162000 | 512/84984 | AVG Bleu: 0.9005383668595491 | Time: 1191 | ETA: 198885 sec | 
Working on: outputs/checkpoint-162000 | 640/84984 | AVG Bleu: 0.9020754947977059 | Time: 1462 | ETA: 195608 sec | 
Working on: outputs/checkpoint-162000 | 768/84984 | AVG Bleu: 0.9057666758141928 | Time: 1785 | ETA: 199322 sec | 
Working on: outputs/checkpoint-162000 | 896/84984 | AVG Bleu: 0.9073132820085428 | Time: 2063 | ETA: 197756 sec | 
Working on: outputs/checkpoint-162000 | 1024/84984 | AVG Bleu: 0.9050419250446625 | Time: 2359 | ETA: 198166 sec | 
Working on: outputs/checkpoint-162000 | 1152/84984 | AVG Bleu: 0.9048427664463138 | Time: 2674 | ETA: 199973 sec | 
Working on: outputs/checkpoint-162000 | 1280/84984 | AVG Bleu: 0.905937507237814 | Time: 3019 | ETA: 203507 sec | 
Working on: outputs/checkpoint-162000 | 1408/84984 | AVG Bleu: 0.9069741602505045 | Time: 3337 | ETA: 204807 sec | 
Working on: outputs/checkpoint-162000 | 1536/84984 | AVG Bleu: 0.9060292786078463 | Time: 3635 | ETA: 204819 sec | 
Working on: outputs/checkpoint-162000 | 1664/84984 | AVG Bleu: 0.9056394158861655 | Time: 3916 | ETA: 203992 sec | 
Working on: outputs/checkpoint-162000 | 1792/84984 | AVG Bleu: 0.9062645579610077 | Time: 4255 | ETA: 206136 sec | 
Working on: outputs/checkpoint-162000 | 1920/84984 | AVG Bleu: 0.9082692115464825 | Time: 4542 | ETA: 205687 sec | 
Working on: outputs/checkpoint-142000 | 128/84984 | AVG Bleu: 0.8678226462818903 | Time: 288 | ETA: 191502 sec | 
Working on: outputs/checkpoint-142000 | 256/84984 | AVG Bleu: 0.8878566150036115 | Time: 582 | ETA: 193789 sec | 
Working on: outputs/checkpoint-142000 | 384/84984 | AVG Bleu: 0.893009262434023 | Time: 883 | ETA: 196305 sec | 
Working on: outputs/checkpoint-142000 | 512/84984 | AVG Bleu: 0.8972704142325384 | Time: 1185 | ETA: 197883 sec | 
Working on: outputs/checkpoint-142000 | 640/84984 | AVG Bleu: 0.892568265400117 | Time: 1434 | ETA: 191862 sec | 
Working on: outputs/checkpoint-142000 | 768/84984 | AVG Bleu: 0.8952986631754721 | Time: 1720 | ETA: 192064 sec | 
Working on: outputs/checkpoint-142000 | 896/84984 | AVG Bleu: 0.8942484024345222 | Time: 1998 | ETA: 191526 sec | 
Working on: outputs/checkpoint-142000 | 1024/84984 | AVG Bleu: 0.8925668551279731 | Time: 2300 | ETA: 193210 sec | 
Working on: outputs/checkpoint-142000 | 1152/84984 | AVG Bleu: 0.8910665817975085 | Time: 2625 | ETA: 196309 sec | 
Working on: outputs/checkpoint-142000 | 1280/84984 | AVG Bleu: 0.8911829995523097 | Time: 2948 | ETA: 198721 sec | 
Working on: outputs/checkpoint-142000 | 1408/84984 | AVG Bleu: 0.892009693018656 | Time: 3252 | ETA: 199590 sec | 
Working on: outputs/checkpoint-142000 | 1536/84984 | AVG Bleu: 0.8934241158544683 | Time: 3535 | ETA: 199184 sec | 
Working on: outputs/checkpoint-142000 | 1664/84984 | AVG Bleu: 0.8926285762653468 | Time: 3773 | ETA: 196543 sec | 
Working on: outputs/checkpoint-142000 | 1792/84984 | AVG Bleu: 0.8929822428856978 | Time: 4083 | ETA: 197803 sec | 
Working on: outputs/checkpoint-142000 | 1920/84984 | AVG Bleu: 0.8944909031893478 | Time: 4396 | ETA: 199075 sec | 
Working on: outputs/checkpoint-100000 | 128/84984 | AVG Bleu: 0.8476880669592954 | Time: 280 | ETA: 186182 sec | 
Working on: outputs/checkpoint-100000 | 256/84984 | AVG Bleu: 0.872194996153004 | Time: 622 | ETA: 207108 sec | 
Working on: outputs/checkpoint-100000 | 384/84984 | AVG Bleu: 0.8753083026509825 | Time: 900 | ETA: 200085 sec | 
Working on: outputs/checkpoint-100000 | 512/84984 | AVG Bleu: 0.8828713499498098 | Time: 1205 | ETA: 201223 sec | 
Working on: outputs/checkpoint-100000 | 640/84984 | AVG Bleu: 0.877783628690054 | Time: 1482 | ETA: 198284 sec | 
Working on: outputs/checkpoint-100000 | 768/84984 | AVG Bleu: 0.8774772444086248 | Time: 1859 | ETA: 207585 sec | 
Working on: outputs/checkpoint-100000 | 896/84984 | AVG Bleu: 0.8746211143380874 | Time: 2136 | ETA: 204754 sec | 
Working on: outputs/checkpoint-100000 | 1024/84984 | AVG Bleu: 0.8757965814684969 | Time: 2429 | ETA: 204046 sec | 
Working on: outputs/checkpoint-100000 | 1152/84984 | AVG Bleu: 0.8746680301977262 | Time: 2762 | ETA: 206554 sec | 
Working on: outputs/checkpoint-100000 | 1280/84984 | AVG Bleu: 0.8721699702423067 | Time: 3116 | ETA: 210046 sec | 
Working on: outputs/checkpoint-100000 | 1408/84984 | AVG Bleu: 0.8739122413395144 | Time: 3412 | ETA: 209410 sec | 
Working on: outputs/checkpoint-100000 | 1536/84984 | AVG Bleu: 0.8748907288729598 | Time: 3697 | ETA: 208313 sec | 
Working on: outputs/checkpoint-100000 | 1664/84984 | AVG Bleu: 0.8729595311631315 | Time: 4067 | ETA: 211858 sec | 
Working on: outputs/checkpoint-100000 | 1792/84984 | AVG Bleu: 0.8720226935838815 | Time: 4369 | ETA: 211659 sec | 
Working on: outputs/checkpoint-100000 | 1920/84984 | AVG Bleu: 0.872986905917962 | Time: 4753 | ETA: 215242 sec | 
Working on: outputs/checkpoint-80000 | 128/84984 | AVG Bleu: 0.847441385683909 | Time: 295 | ETA: 196157 sec | 
Working on: outputs/checkpoint-80000 | 256/84984 | AVG Bleu: 0.8671308155567896 | Time: 671 | ETA: 223424 sec | 
Working on: outputs/checkpoint-80000 | 384/84984 | AVG Bleu: 0.87270259797625 | Time: 972 | ETA: 216092 sec | 
Working on: outputs/checkpoint-80000 | 512/84984 | AVG Bleu: 0.8774867292385071 | Time: 1355 | ETA: 226272 sec | 
Working on: outputs/checkpoint-80000 | 640/84984 | AVG Bleu: 0.868833600589569 | Time: 1616 | ETA: 216212 sec | 
Working on: outputs/checkpoint-80000 | 768/84984 | AVG Bleu: 0.873659342016305 | Time: 1931 | ETA: 215625 sec | 
Working on: outputs/checkpoint-80000 | 896/84984 | AVG Bleu: 0.8765014614806468 | Time: 2303 | ETA: 220762 sec | 
Working on: outputs/checkpoint-80000 | 1024/84984 | AVG Bleu: 0.8731706445848146 | Time: 2616 | ETA: 219755 sec | 
Working on: outputs/checkpoint-80000 | 1152/84984 | AVG Bleu: 0.871594948954575 | Time: 2953 | ETA: 220838 sec | 
Working on: outputs/checkpoint-80000 | 1280/84984 | AVG Bleu: 0.8710313330903933 | Time: 3282 | ETA: 221236 sec | 
Working on: outputs/checkpoint-80000 | 1408/84984 | AVG Bleu: 0.8718809063175912 | Time: 3662 | ETA: 224754 sec | 
Working on: outputs/checkpoint-80000 | 1536/84984 | AVG Bleu: 0.8745850166799278 | Time: 3949 | ETA: 222512 sec | 
Working on: outputs/checkpoint-80000 | 1664/84984 | AVG Bleu: 0.8735445277473963 | Time: 4311 | ETA: 224568 sec | 
Working on: outputs/checkpoint-80000 | 1792/84984 | AVG Bleu: 0.8741516308331417 | Time: 4643 | ETA: 224933 sec | 
Working on: outputs/checkpoint-80000 | 1920/84984 | AVG Bleu: 0.8747071319346877 | Time: 4938 | ETA: 223620 sec | 
Working on: outputs/checkpoint-182000 | 128/84984 | AVG Bleu: 0.8845910133179682 | Time: 361 | ETA: 240042 sec | 
