Working on: outputs/checkpoint-192000 | 128/84984 | AVG Bleu: 0.8870615085680462 | Time: 63 | ETA: 41891 sec | 
Working on: outputs/checkpoint-192000 | 256/84984 | AVG Bleu: 0.8973423634708388 | Time: 188 | ETA: 62598 sec | 
Working on: outputs/checkpoint-192000 | 384/84984 | AVG Bleu: 0.9039773041772993 | Time: 403 | ETA: 89593 sec | 
Working on: outputs/checkpoint-192000 | 512/84984 | AVG Bleu: 0.9053124469365571 | Time: 688 | ETA: 114889 sec | 
Working on: outputs/checkpoint-192000 | 640/84984 | AVG Bleu: 0.9049008206807041 | Time: 915 | ETA: 122422 sec | 
Working on: outputs/checkpoint-192000 | 768/84984 | AVG Bleu: 0.905178710940809 | Time: 1214 | ETA: 135561 sec | 
Working on: outputs/checkpoint-192000 | 896/84984 | AVG Bleu: 0.9058292838292127 | Time: 1508 | ETA: 144555 sec | 
Working on: outputs/checkpoint-192000 | 1024/84984 | AVG Bleu: 0.9023379678046348 | Time: 1769 | ETA: 148603 sec | 
Working on: outputs/checkpoint-192000 | 1152/84984 | AVG Bleu: 0.9055492006254996 | Time: 2035 | ETA: 152186 sec | 
Working on: outputs/checkpoint-192000 | 1280/84984 | AVG Bleu: 0.9060483179953032 | Time: 2306 | ETA: 155445 sec | 
Working on: outputs/checkpoint-192000 | 1408/84984 | AVG Bleu: 0.9068325279474191 | Time: 2553 | ETA: 156689 sec | 
Working on: outputs/checkpoint-192000 | 1536/84984 | AVG Bleu: 0.9059098485999288 | Time: 2788 | ETA: 157094 sec | 
Working on: outputs/checkpoint-192000 | 1664/84984 | AVG Bleu: 0.9048270342791659 | Time: 3084 | ETA: 160651 sec | 
Working on: outputs/checkpoint-192000 | 1792/84984 | AVG Bleu: 0.9048077067351271 | Time: 3393 | ETA: 164376 sec | 
Working on: outputs/checkpoint-192000 | 1920/84984 | AVG Bleu: 0.9043256082876192 | Time: 3775 | ETA: 170953 sec | 
Working on: outputs/checkpoint-60000 | 128/84984 | AVG Bleu: 0.8198365504132882 | Time: 267 | ETA: 177538 sec | 
Working on: outputs/checkpoint-60000 | 256/84984 | AVG Bleu: 0.8368597930373239 | Time: 501 | ETA: 166818 sec | 
Working on: outputs/checkpoint-60000 | 384/84984 | AVG Bleu: 0.8564543967582078 | Time: 736 | ETA: 163625 sec | 
Working on: outputs/checkpoint-60000 | 512/84984 | AVG Bleu: 0.8559324816508265 | Time: 972 | ETA: 162314 sec | 
Working on: outputs/checkpoint-60000 | 640/84984 | AVG Bleu: 0.8528370000807343 | Time: 1206 | ETA: 161356 sec | 
Working on: outputs/checkpoint-60000 | 768/84984 | AVG Bleu: 0.8540901662066758 | Time: 1437 | ETA: 160463 sec | 
Working on: outputs/checkpoint-60000 | 896/84984 | AVG Bleu: 0.8568686912288436 | Time: 1659 | ETA: 159029 sec | 
Working on: outputs/checkpoint-60000 | 1024/84984 | AVG Bleu: 0.8540918467233123 | Time: 1919 | ETA: 161204 sec | 
Working on: outputs/checkpoint-60000 | 1152/84984 | AVG Bleu: 0.8525149207529574 | Time: 2241 | ETA: 167592 sec | 
Working on: outputs/checkpoint-60000 | 1280/84984 | AVG Bleu: 0.85369291140557 | Time: 2548 | ETA: 171758 sec | 
Working on: outputs/checkpoint-60000 | 1408/84984 | AVG Bleu: 0.8552886023804039 | Time: 2850 | ETA: 174918 sec | 
Working on: outputs/checkpoint-60000 | 1536/84984 | AVG Bleu: 0.8579708610606649 | Time: 3126 | ETA: 176139 sec | 
Working on: outputs/checkpoint-60000 | 1664/84984 | AVG Bleu: 0.854365949677978 | Time: 3474 | ETA: 180967 sec | 
Working on: outputs/checkpoint-60000 | 1792/84984 | AVG Bleu: 0.8556834688703644 | Time: 3755 | ETA: 181913 sec | 
Working on: outputs/checkpoint-60000 | 1920/84984 | AVG Bleu: 0.8561816691722898 | Time: 4006 | ETA: 181414 sec | 
Working on: outputs/checkpoint-40000 | 128/84984 | AVG Bleu: 0.8287109291210809 | Time: 288 | ETA: 191502 sec | 
Working on: outputs/checkpoint-40000 | 256/84984 | AVG Bleu: 0.8257187417089829 | Time: 507 | ETA: 168816 sec | 
Working on: outputs/checkpoint-40000 | 384/84984 | AVG Bleu: 0.8385964423965562 | Time: 742 | ETA: 164959 sec | 
Working on: outputs/checkpoint-40000 | 512/84984 | AVG Bleu: 0.8444338620606087 | Time: 985 | ETA: 164485 sec | 
Working on: outputs/checkpoint-40000 | 640/84984 | AVG Bleu: 0.8366997196289366 | Time: 1180 | ETA: 157878 sec | 
Working on: outputs/checkpoint-40000 | 768/84984 | AVG Bleu: 0.8367117762498006 | Time: 1466 | ETA: 163701 sec | 
Working on: outputs/checkpoint-40000 | 896/84984 | AVG Bleu: 0.8378050891115248 | Time: 1742 | ETA: 166986 sec | 
Working on: outputs/checkpoint-40000 | 1024/84984 | AVG Bleu: 0.8338851745620285 | Time: 2034 | ETA: 170864 sec | 
Working on: outputs/checkpoint-40000 | 1152/84984 | AVG Bleu: 0.8336080396731173 | Time: 2335 | ETA: 174621 sec | 
Working on: outputs/checkpoint-40000 | 1280/84984 | AVG Bleu: 0.832541459816234 | Time: 2640 | ETA: 177959 sec | 
Working on: outputs/checkpoint-40000 | 1408/84984 | AVG Bleu: 0.834776597026464 | Time: 2937 | ETA: 180257 sec | 
Working on: outputs/checkpoint-40000 | 1536/84984 | AVG Bleu: 0.8376143922162562 | Time: 3147 | ETA: 177322 sec | 
Working on: outputs/checkpoint-40000 | 1664/84984 | AVG Bleu: 0.835996701006096 | Time: 3403 | ETA: 177269 sec | 
Working on: outputs/checkpoint-40000 | 1792/84984 | AVG Bleu: 0.835826232741281 | Time: 3695 | ETA: 179006 sec | 
Working on: outputs/checkpoint-40000 | 1920/84984 | AVG Bleu: 0.835189704939703 | Time: 3923 | ETA: 177655 sec | 
Working on: outputs/checkpoint-162000 | 128/84984 | AVG Bleu: 0.8585506655990374 | Time: 219 | ETA: 145621 sec | 
Working on: outputs/checkpoint-162000 | 256/84984 | AVG Bleu: 0.8828741428654421 | Time: 441 | ETA: 146840 sec | 
Working on: outputs/checkpoint-162000 | 384/84984 | AVG Bleu: 0.8901518487063615 | Time: 671 | ETA: 149174 sec | 
Working on: outputs/checkpoint-162000 | 512/84984 | AVG Bleu: 0.8955227008283708 | Time: 972 | ETA: 162314 sec | 
Working on: outputs/checkpoint-162000 | 640/84984 | AVG Bleu: 0.8971143704002736 | Time: 1194 | ETA: 159751 sec | 
Working on: outputs/checkpoint-162000 | 768/84984 | AVG Bleu: 0.8970132445592031 | Time: 1455 | ETA: 162473 sec | 
Working on: outputs/checkpoint-162000 | 896/84984 | AVG Bleu: 0.8971267926716634 | Time: 1663 | ETA: 159413 sec | 
Working on: outputs/checkpoint-162000 | 1024/84984 | AVG Bleu: 0.8936961578755601 | Time: 1896 | ETA: 159272 sec | 
Working on: outputs/checkpoint-162000 | 1152/84984 | AVG Bleu: 0.8913191581170277 | Time: 2141 | ETA: 160113 sec | 
Working on: outputs/checkpoint-162000 | 1280/84984 | AVG Bleu: 0.8926277023702628 | Time: 2397 | ETA: 161579 sec | 
Working on: outputs/checkpoint-162000 | 1408/84984 | AVG Bleu: 0.8946793224956658 | Time: 2634 | ETA: 161661 sec | 
Working on: outputs/checkpoint-162000 | 1536/84984 | AVG Bleu: 0.8947421868106146 | Time: 2858 | ETA: 161038 sec | 
Working on: outputs/checkpoint-162000 | 1664/84984 | AVG Bleu: 0.8919555807033114 | Time: 3080 | ETA: 160443 sec | 
Working on: outputs/checkpoint-162000 | 1792/84984 | AVG Bleu: 0.8913005054168484 | Time: 3328 | ETA: 161227 sec | 
Working on: outputs/checkpoint-162000 | 1920/84984 | AVG Bleu: 0.8929734975267112 | Time: 3556 | ETA: 161035 sec | 
Working on: outputs/checkpoint-142000 | 128/84984 | AVG Bleu: 0.8763418513836444 | Time: 215 | ETA: 142961 sec | 
Working on: outputs/checkpoint-142000 | 256/84984 | AVG Bleu: 0.8894549795100958 | Time: 438 | ETA: 145841 sec | 
Working on: outputs/checkpoint-142000 | 384/84984 | AVG Bleu: 0.8852300405747693 | Time: 674 | ETA: 149841 sec | 
Working on: outputs/checkpoint-142000 | 512/84984 | AVG Bleu: 0.8900985402032481 | Time: 906 | ETA: 151293 sec | 
Working on: outputs/checkpoint-142000 | 640/84984 | AVG Bleu: 0.8847786949152624 | Time: 1128 | ETA: 150920 sec | 
Working on: outputs/checkpoint-142000 | 768/84984 | AVG Bleu: 0.886976055418253 | Time: 1350 | ETA: 150748 sec | 
Working on: outputs/checkpoint-142000 | 896/84984 | AVG Bleu: 0.8869137190190763 | Time: 1556 | ETA: 149156 sec | 
Working on: outputs/checkpoint-142000 | 1024/84984 | AVG Bleu: 0.8868536276600503 | Time: 1786 | ETA: 150031 sec | 
Working on: outputs/checkpoint-142000 | 1152/84984 | AVG Bleu: 0.8844682292716987 | Time: 2035 | ETA: 152186 sec | 
Working on: outputs/checkpoint-142000 | 1280/84984 | AVG Bleu: 0.8833883754762741 | Time: 2281 | ETA: 153760 sec | 
Working on: outputs/checkpoint-142000 | 1408/84984 | AVG Bleu: 0.8852828708167005 | Time: 2509 | ETA: 153989 sec | 
Working on: outputs/checkpoint-142000 | 1536/84984 | AVG Bleu: 0.8856493616205688 | Time: 2724 | ETA: 153487 sec | 
Working on: outputs/checkpoint-142000 | 1664/84984 | AVG Bleu: 0.8853543522616356 | Time: 2974 | ETA: 154921 sec | 
Working on: outputs/checkpoint-142000 | 1792/84984 | AVG Bleu: 0.8857518489220607 | Time: 3210 | ETA: 155510 sec | 
Working on: outputs/checkpoint-142000 | 1920/84984 | AVG Bleu: 0.8871000593141688 | Time: 3462 | ETA: 156778 sec | 
Working on: outputs/checkpoint-100000 | 128/84984 | AVG Bleu: 0.8259176038328708 | Time: 216 | ETA: 143626 sec | 
